the art.(定冠词)这，那
alcohol n.酒精，乙醇
solution n.解决，解答；溶解
bullet n.枪弹，子弹，弹丸
setting n.安装，调整；环境
model n.模型；模式；模特儿
extreme a.极度的；尽头的
otherwise ad.另外；要不然
criminal n.犯人，罪犯，刑事犯
rely vi.依赖，依靠；信赖
heavily ad.重重地；大量地
method n.方法，办法；教学法
promise n.诺言；指望vt.允诺
directly ad.直接地；立即
expert n.专家a.熟练的
earn vt.赚得，挣得；获得
engineering n.工程，工程学
magic n.魔法，巫术；戏法
position n.位置；职位；姿势
automatic a.自动的；机械的
present n.礼物，赠送物
mere a.仅仅的；纯粹的
prospect n.展望；前景，前程
win vi.获胜，赢vt.赢得
nor conj.也不；不
lose vt.失去；迷失；输掉
cool a.凉的，冷静的
urgent a.紧急的；强求的
immediate a.立即的；直接的
submit vt.使服从vi.服从
struggle n.&vi.斗争，奋斗
enter vt.走进，进入；参加
improvement n.改进，改善；改进处
suffer vt.遭受；忍受；容许
paint vt.画；油漆vi.绘画
artificial a.人工的；娇揉造作的
figure n.数字；外形；人物
robot n.机器人；自动机
pet n.爱畜；宠儿a.宠爱的
distance n.距离，间距；远处
sufficient a.足够的，充分的
aim vi.瞄准，针对；致力
somewhat pron.一点儿ad.有点
accept vt. vi.接受；同意
adequate a.足够的；可以胜任的
harmful a.有害的
comment n.评论，意见；注释
layer n.层，层次；铺设者
connection n.连接，联系；连贯性
rid vt.使摆脱，使去掉
severe a.严格的；严厉的
conflict n.争论；冲突；斗争
union n.联合；团结；协会
reverse vt.颠倒，翻转n.背面
consume vt.消耗，消费；消灭
shortage n.不足，缺少，不足额
eliminate vt.消灭，消除，排除
saw n.锯子vt.锯，锯开
ultimately ad.最终，最后
ease n.容易，舒适vt.缓和
discover vt.发现；暴露，显示
journey n.旅行，旅程n.旅行
ideal a.理想的；观念的
elementary a.基本的；初级的
phase n.阶段；方面；相位
hospital n.医院
former a.在前的n.前者
pilot n.领航员；飞行员
pleasure n.愉快，快乐；乐事
strongly ad.强壮地，强烈地
reluctant a.不愿的，勉强的
revolution n.革命；旋转，绕转
senior a.年少的；地位较高的
plenty n.丰富，充足，大量
burden n.担子，重担；装载量
refer vt.使求助于vi.谈到
abundant a.丰富的；大量的
sad a.悲哀的，令人悲痛的
council n.理事会，委员会
member n.成员，会员
south n.南，南方a.南方的
politics n.政治，政治学；政纲
concerning prep.关于
commit vt.犯(错误);干(坏事)
protect vt.保护，保卫，警戒
reference n.参考；出处；提及
central a.中心的；主要的
region n.地区，地带；领域
recall vt.回想；叫回；收回
finally ad.最后；不可更改的
extraordinary a.非同寻常的，特别的
forward ad.向前；今后，往后
tendency n.趋向，趋势，倾向
advantage n.优点，优势；好处
fancy n.想象力；设想；爱好
complain vi.抱怨，拆苦；控告
customer n.顾客，主顾
trouble n.烦恼；困难vi.烦恼
period n.时期；学时；句号
drop vt.使落下；降低
typical a.典型的，代表性的
kill vi.杀死；扼杀；消磨
constant a.经常的；永恒的
vital a.生命的；有生命力的
deliver vt.投递，送交；发表
note n.笔记；便条；注释
fan n.扇子，风扇vt.扇
transfer vt.转移；调动vi.转移
charge vt.索价；控告n.费用
tower n.塔vi.屹立，高耸
chemistry n.化学
atmosphere n.大气；空气；气氛
village n.乡村，村庄
nation n.民族；国家
justice n.正义，公正；司法
nowadays ad.现今，现在
proportion n.比，比率，部分
forest n.森林；森林地带
quiet a.寂静的；安静的
truly ad.真正地；忠实地
perform vt.履行，执行；演出
freely ad.自由地；直率地
cloud n.云；云状物；阴影
fox n.狐狸；狡猾的人
supermarket n.超级市场
absorb vt.吸收；使专心
plant n.植物；工厂vt.栽种
fix vt.使固定；决定
sick a.有病的；恶心的
baby n.婴儿；孩子气的人
accident n.意外的；事故
wind vt.绕，缠绕vi.卷曲
frequently ad.时常，常常
clothing n.衣服，被褥
conclusion n.结论，推论；结尾
twice ad.两次，两倍
fuel n.燃料vt.给…加燃料
graduate n.毕业生vi.大学毕业
tough a.坚韧的；健壮的
generate vt.发生；引起；生殖
theory n.理论；学说；意见
junior a.年少的n.晚辈
ignore vt.不顾，不理，忽视
regarding prep.关于
combination n.结合，联合；化合
passion n.激情，热情；爱好
naturally ad.自然地；天然地
gift n.礼物，赠品；天赋
cultivate vt.耕；种植；培养
universal a.宇宙的；普遍的
direct a.直接的；直率的
fundamental a.基础的，基本的
indicate vt.标示，表示；表明
illness n.病，疾病
commonly ad.普通地，一般地
suggestion n.建议，意见；暗示
stuff n.材料vt.装，填，塞
profit n.益处；利润vi.得益
sentence n.判决；句子vt.宣判
convenient a.便利的；近便的
direction n.方向，方位；指导
factory n.工厂，制造厂
application n.请求，申请；施用
term n.期；学期；条件；词
display vt.陈列，展览；显示
elsewhere ad.在别处，向别处
actual a.实际的；现行的
recognize vt.认识，认出；承认
lab n.实验室，研究室
award n.奖，奖品；判定
explanation n.解释，说明；辩解
hungry a.饥饿的；渴望的
recovery n.重获；痊愈，恢复
tool n.工具，器具，用具
assignment n.任务，指定的作业
trust n.信任vt.相信；委托
salary n.薪金，薪水
royal a.王的；皇家的
relieve vt.减轻，解除；救济
add vt.添加，附加，掺加
associate vi.交往n.伙伴，同事
initial a.最初的；词首的
size n.大小；体积；尺码
rational a.理性的；出于理性的
danger n.危险；危险事物
drawing n.图画，素描；绘图
correct a.正确的vt.纠正
regular a.规则的；整齐的
span n.跨距；一段时间
vary vt.改变；使多样化
die vi.死，死亡；灭亡
structure n.结构；构造vt.建造
speak vi.说话；发言vt.说
register n.&vt.登记，注册
birth n.分娩，出生；出身
ill a.有病的；坏的ad.坏
husband n.丈夫
collapse vi.倒坍；崩溃，瓦解
climb vi.攀登，爬vt.爬
underground a.地下的；秘密的
remove vt.移动，搬开；脱掉
appropriate a.适当的，恰当的
quarter n.四分之一；一刻钟
dull a.枯燥的；不鲜明的
meanwhile ad.同时，当时
accommodate vt.容纳；供应，供给
philosophy n.哲学；哲理；人生观
switch n.开关；转换vt.转换
philosopher n.哲学家
waste n.浪费；废物；垃圾
beautiful a.美的，美丽的
peace n.和平；和睦；平静
divide vt.分；分配；分开
cycle n自行车，循环
evening n.傍晚，黄昏，晚上
gas n.煤气；气体；汽油
himself pron.他自己；他亲自
excellent a.优秀的，杰出的
street n.街，街道；行车道
surprise vt.使惊奇；突然袭击
final a.最后的；决定性的
finish vt.完成，结束n.结束
winner n.获胜者，优胜者
cancer n.癌，癌症，肿瘤
hundred num.百，百个n.许多
discovery n.发现；被发现的事物
ice n.冰，冰块vt.冰镇
force vt.强迫n.力，力量
communicate vi.通讯；传达；传播
hotel n.旅馆
sit vi.坐，就坐vt.使坐
listen vi.听，留神听；听从
father n.父亲；神父；创始人
expense n.花费，消费；费用
oil n.油；石油vt.加油于
modest a.有节制的；谦虚的
attract vt.吸引；引起，诱惑
transport vt.运输n.运输
farm n.农场，农庄；饲养场
depend vi.依靠，依赖；相信
fairly ad.相当；公平地
advertisement n.广告；公告；登广告
conventional a.普通的；习惯的
terrible a.可怕的；极度的
spot n.点，斑点；地点
formal a.正式的；礼仪上的
shelter n.隐蔽处；掩蔽，庇护
notice vt.注意n.通知；注意
unexpected a.想不到的，意外的
western a.西方的，西部的
library n.图书馆；藏书
total a.总的vi.合计，总共
painting n.油画；绘画；着色
scientist n.(自然)科学家
stage n.舞台；戏剧；阶段
transformation n.变化；改造；转变
relax vt.使松弛vi.松弛
spring n.春天，春季
precious a.珍贵的，宝贵的
tiny a.微小的，极小的
endure vt.忍受；容忍
serve vt.为…服务；招待
investigation n.调查，调查研究
measure vt.量，测量n.分量
arouse vt.引起，唤起；唤醒
fire n.火；火灾vi.开火
manage vt.管理；设法；对付
hour n.小时；时间，时刻
largely ad.大部分；大量地
excessive a.过多的，极度的
acquire vt.取得；获得；学到
outdoor a.户外的，室外的
area n.面积；地区；领域
doctor n.医生，医师；博士
nearby a.附近的ad.在附近
link vt.有环连接n.环
intelligent a.聪明的；理智的
capable a.有能力的，有才能的
distinguish vt.区别，辨别，认别
forever ad.永远，总是，老是
fortune n.命运，运气；财产
wonder n.惊异，惊奇；奇迹
sharp a.锋利的；敏锐的
gratitude a.感激，感谢，感恩
football n.足球比赛；足球
friendly a.友好的，友谊的
charity n.施舍；慈善事业
dance vi.跳舞；摇晃n.舞
goods n.货物，商品
panel n.专门小组；面，板
collect vt.收集vi.收款
hit vt.打；碰撞n.击
print vt.印刷n.印刷；正片
wait vi.等，等候n.等待
occur vi.发生；出现，存在
seriously ad.严肃地，认真地
suspect vt.怀疑vi.疑心
permanent a.永久的，持久的
parent n.父亲，母亲，双亲
encourage vt.鼓励，支持，助长
marine a.海的；海上的
planet n.行星
thrive vi.兴旺，繁荣，旺盛
primarily ad.首先；主要地
arrangement n.整理，排列；安排
marriage n.结婚，婚姻；婚礼
net n.网，网状物；通信网
recognition n.认出，识别；承认
attempt vt.尝试，试图n.企图
phenomenon n.现象
neutral a.中立的；中性的
occupy vt.占领；占，占有
ceremony n.典礼，仪式；礼节
valuable a.值钱的；有价值的
estimate vt.估计，评价n.估计
gold n.金；钱财a.金制的
truth n.真理；真实；真实性
debt n.债，债务，欠债
schedule n.时间表；计划表
annual a.每年的n.年报
contest vt.争夺，争取；辩驳
stick n.棍，棒vt.刺；粘贴
dictionary n.词典，字典
assistant n.助手，助理；助教
clearly ad.明白地，清晰地
background n.背景，后景，经历
additional a.附加的，追加的
genuine a.真的；真正的
disadvantage n.不利，不利地位
replace vt.把…放回；取代
tree n.树
fierce a.凶猛的，狂热的
track n.行踪；路径；轨道
mathematical a.数学的，数学上的
broken a.被打碎的，骨折的
permission n.允许，许可，同意
amuse vt.逗…乐；给…娱乐
property n.财产，资产；性质
continent n.大陆；陆地；洲
tourist n.旅游者，观光者
extensive a.广阔的；广泛的
conclude vt.推断出；结束
encounter vt.遭遇，遇到n.遭遇
lay vt.置放；铺设；设置
workshop n.车间，工场；创作室
attitude n.态度，看法；姿势
nowhere ad.任何地方都不
tax n.税，税款；负担
strain vt.拉紧vi.尽力
toy n.玩具，玩物
contrast n.对比，对照，悬殊
demonstrate vt.说明；论证；表露
adjust vt.调整，调节；校正
none pron.没有人ad.毫不
everywhere ad.到处，处处
limit n.限度；限制；范围
index n.索引；指数；指标
survive vt.幸免于vi.活下来
argument n.争论，辩论；理由
numerous a.为数众多的；许多
somewhere ad.在某处n.某地
commission n.委任状；委员会
minimum n.最小量a.最小的
rarely ad.很少，难得
strengthen vt.加强，巩固
beat vt.&vi.打，敲；打败
conscious a.意识到的；有意的
storm n.风暴；暴(风)雨
transform vt.改变；改造；变换
worst a.最坏的ad.最坏地
independent a.独立的；自主的
desirable a.值得相望的；可取的
exchange vt.交换；交流n.交换
component n.组成部分；分；组件
possibility n.可能；可能的事
shed vt.流出；散发；脱落
alike a.同样的，相同的
quantity n.量，数量，分量
wish vt.祝；想要n.希望
address n.地址；演说；谈吐
menu n.菜单；饭菜，菜肴
length n.长，长度；一段
cooperate vi.合作，协作；配合
relative a.有关系的；相对的
gloomy a.黑暗的；令人沮丧的
host n.主人；东道主
chain n.链，链条，项圈
desk n.书桌，办公桌
star n.星；恒星；明星
subsequent a.随后的，后来的
oven n.炉，灶；烘箱
obviously ad.明显地，显然地
properly ad.适当地；彻底地
inevitable a.不可避免的，必然的
gather vi.聚集；集合vt.收集
unfortunately ad.不幸地
anxious a.忧虑的；渴望的
angry a.愤怒的，生气的
evolution n.进化，演化；发展
authority n.当局，官方；权力
terminal a.末端的n.末端
coach n.长途公共汽车
native a.本土的n.本地人
reader n.读者；读物，读本
thereby ad.因此，从而，由此
relief n.减轻；救济；援救
stability n.稳定，稳定性，巩固
wheat n.小麦
meat n.肉
fourth num.第四，四分之一
dry a.干的，干燥的
temporary a.暂时的，临时的
substantial a.物质的；坚固的
obstacle n.障碍，障碍物，妨害
abstract a.抽象的n.摘要
complex a.结合的；复杂的
discussion n.讨论，谈论；论述
argue vi.争论，争辩，辩论
pioneer n.拓荒者；先驱者
insist vi.坚持；坚持要求
mayor n.市长
foundation n.基础；地基；基金
rapidly ad.迅速地
electronic a.电子的
patient a.忍耐的n.病人
launch vt.发射，投射；发动
signal n.信号vi.发信号
nice a.美好的，令人愉快的
spiritual a.精神的，心灵的
unlike a.不同的prep.不象…
concentrate vt.集中；聚集；浓缩
excess n.超越；过量；过度
evil n.邪恶；祸害a.坏的
poet n.诗人
kindness n.仁慈，好意
guide n.导游者vt.给…导游
path n.路，小道；道路
aspect n.方面；样子，外表
ride vi.&n.骑马，乘车
steady a.稳固的vt.使稳定
surprising a.惊人的；出人意外的
adopt vt.收养；采用；采取
rural a.农村的，田园的
midday n.正午，中午
pace n.步，步速vi.踱步
entertain vt.使欢乐；招待
stranger n.陌生人；新来者
sum n.总数；金额vi.共计
waiter n.侍者，服务员
war n.战争；冲突，斗争
architecture n.建筑学；建筑式样
minute a.微细的；详细的
campaign n.战役；运动
quit vt.离开，退出；停止
smoke n.烟；抽烟vi.冒烟
painful a.使痛的；费力的
disorder n.混乱，杂乱；骚乱
exciting a.令人兴奋的
sample n.样品；实例，标本
oneself pron.自己；亲自
remote a.相隔很远的；冷淡的
tall n.高的，身材高的
fog n.雾；烟雾，尘雾
luggage n.行李；皮箱，皮包
imagination n.想象；想象力；空想
owner n.物主，所有人
warm a.温暖的；热烈的
equipment n.装备，设备，配备
raw a.未煮过的；未加工的
couple n.夫妇；(一)对；几个
superior a.较高的；优越的
thank vt.谢谢，感谢n.感谢
false a.不真实的；伪造的
southern a.南方的，南部的
sensitive a.敏感的；灵敏的
trace n.痕迹；丝毫vt.跟踪
event n.事件，大事；事变
youth n.青春；青年们；青年
unpleasant a.令人不快的，讨厌的
phrase n.短语；习惯用语
fashionable a.流行的，时髦的
apart ad.相隔；分开；除去
church n.教堂，礼拜堂；教会
trap n.陷阱；诡计vt.诱骗
inner a.内部的；内心的
strength n.力，力量，力气
electric a.电的，电动的
above prep.在…上面；高于
clock n.钟，仪表
object vi.反对；抱反感
enlarge vt.扩大，扩展；放大
inexpensive a.花费不多的，廉价的
emperor n.皇帝
wood n.树林，森林；木头
character n.性格；特性；角色
tedious a.冗长乏味的，沉闷的
leisure n.空闲时间；悠闲
fruitful a.多产的；肥沃的
proud a.骄傲的；自豪的
physician n.医生，内科医生
recommend vt.推荐，介绍；劝告
recover vt.重新获得；挽回
keen a.热心的；激烈的
drought n.旱灾，干旱
previously ad.先前，预先
earth n.地球；陆地，地面
victory n.胜利，战胜
honest a.诚实的；可敬的
sudden a.突然的，意外的
dog n.狗，犬，犬科动物
worker n.工人；工作者，人员
fatal a.致命的；命运的
opening a.开始的n.开始
participate vi.参与，参加；分享
settlement n.解决；殖民，殖民地
eye n.眼睛；眼力；鉴赏力
grand a.宏伟的；重大的
association n.协会，团体；联合
revolutionary a.革命的n.革命者
install vt.安装，设置
legal a.法律的；合法的
dictate vt.&vi.口授；命令
steal vt.偷，窍取
alter vt.改变，变更；改做
noisy a.嘈杂的；喧闹的
insurance n.保险；保险费
cover vt.盖，包括n.盖子
represent vt.描绘；代表；象征
hunt n.打猎；搜寻vt.追猎
tuition n.教，教诲；学费
confusion n.混乱；骚乱；混淆
document n.公文，文件；证件
minor a.较小的；较次要的
slightly ad.稍微，有点
stimulate vt.刺激，激励，激发
racial a.种族的，人种的
son n.儿子
mathematics n.数学
steadily ad.稳定地，不变地
shame n.羞耻，羞愧；羞辱
tutor n.家庭教师；导师
derive vt.取得vi.起源
account n.记述；解释；帐目
station n.站，台，所，局
digest vt.消化；领会n.文摘
upper a.上面的；地位较高的
element n.成分；要素；元素
heading n.标题，题词，题名
considerable a.相当大的；重要的
remarkable a.异常的，非凡的
frame n.框架，框子；构架
conference n.会议，讨论会
wooden a.木制的；呆板的
newly ad.新近，最近
beneficial a.有利的，有益的
behave vi.表现，举止；运转
strange a.陌生的；奇怪的
reduction n.减少，减小，缩减
loan n.贷款；暂借vt.借出
drug n.药，药物，药材
surgery n.外科，外科手术
literature n.文学；文献
regardless ad.不顾一切地
tour n.&vi.旅行，游历
listener n.听者，听众之一
pile n.堆vt.堆叠，累积
perspective n.透视；远景；观点
user n.用户，使用者
influential a.有影响的；有权势的
original a.最初的；新颖的
pound vt.捣碎；舂烂；猛击
volume n.卷，册；容积；音量
casual a.偶然的；随便的
absence n.缺席，不在场；缺乏
presence n.出席，到场；在
acceptable a.可接受的，合意的
rival n.竞争者a.竞争的
shirt n.(男式)衬衫
base n.基础，底层；基地
layout n.布局，安排，设计
appetite n.食欲，胃口；欲望
calendar n.日历，历书；历法
utility n.效用，有用，实用
bottom n.底，底部，根基
sunlight n.日光，阳光
duty n.职责；责任；税
crash vi.碰撞，坠落n.碰撞
witness n.证据；证人vt.目击
rock n.岩，岩石；石头
finance n.财政，金融；财源
expansion n.扩大，扩充；扩张
attractive a.有吸引力的
prince n.王子，亲王
geography n.地理，地理学
heating n.加热，供暖
floor n.地板；楼层
indifferent a.冷漠的；不积极的
voyage n.&vi.航海，航空
hopeless a.没有希望的，绝望的
passive a.被动的；消极的
characteristic a.特有的n.特性
crack n.裂缝，裂纹vi.爆裂
disagree vi.有分歧；不一致
criticism n.批评；批判；评论
transmit vt.传送，传达；发射
article n.文章；条款；物品
impose vt.把…强加；征(税)
review vt.再检查n.复习
fare n.车费，船费，票价
manufacture vt.制造n.制造；产品
hurry vi.赶紧vt.催促
horror n.恐怖；战栗；憎恶
regulation n.规则，规章；管理
define vt.给…下定义；限定
lung n.肺脏，肺
prohibit vt.禁止，阻止
needless a.不需要的
elimination n.消灭，排除，消除
pure a.纯粹的；纯洁的
steel n.钢，钢铁
adventure n.冒险；惊险活动
principle n.原则，原理；主义
roll vi.&vt.滚动；转动
illustrate vt.(用图等)说明
sufficiently ad.足够地，充分地
peak n.山顶，巅a.最高的
miracle n.奇迹，令人惊奇的人
cure vt.医治；消除n.治愈
fellow n.人，家伙；伙伴
wide a.宽阔的ad.全部地
faculty n.才能，能力；系，科
contrary a.相反的n.相反
army n.军队；陆军
certainty n.必然；肯定
attraction n.吸引；吸引力；引力
pleasant a.令人愉快的，舒适的
interpret vt.解释，说明；口译
infer vt.推论，推断；猜想
objective a.客观的；无偏见的
overtime a.超时的，加班的
decrease vi.&n.减少，减少
admire vt.钦佩，羡慕，赞赏
interior a.内的；内地的n.内部
reasonable a.合情合理的；公道的
lonely a.孤独的；荒凉的
counter n.柜台；计数器
consequence n.结果，后果
press vt.压，按，揿；催促
release vt.释放；放松；发表
compare vt.比较，对照；比作
tear vt.撕开，撕裂
satisfactory a.令人满意的，良好的
somebody pron.某人，有人
alarm n.惊恐，忧虑；警报
sympathetic a.同情的；和谐的
agreement n.协定，协议；同意
dying a.垂死的；临终的
hardship n.艰难，困苦
freedom n.自由；自主
committee n.委员会；全体委员
guarantee n.保证；担保物
dislike vt.&n.不喜爱，厌恶
steep a.险峻的，陡峭的
rose n.蔷薇花，蔷薇科植物
corn n.谷物；(英)小麦
unlikely a.未必的，未必可能的
crop n.农作物，庄稼；一熟
domestic a.本国的；家庭的
trade n.贸易；职业vi.交易
lock n.锁vt.锁上，锁住
carbon n.碳
apparent a.表面上的；明显的
involve vt.使卷入；牵涉
possibly ad.可能地；也许
door n.门，通道；一家
sight n.视力；见；情景
wireless a.不用电线的，无线的
wear vt.穿着，戴；磨损
dependent a.依靠的，依赖的
peaceful a.和平的；安静的
intellectual n.知识分子a.智力的
myself pron.我自己；我亲自
friendship n.友谊，友好
soul n.灵魂；精神；人
wound n.创伤，伤vt.使受伤
concrete n.混凝土；具体物
consideration n.考虑，思考；体贴
applicable a.能应用的；适当的
similarly ad.类似地，相似地
location n.位置，场所
wake vi.醒，醒来vt.唤醒
supper n.晚饭，晚餐
tremendous a.极大的，非常的
dairy n.牛奶场；乳制品
vigorous a.朝气蓬勃的
anyway ad.无论如何
lecture n.&vi.演讲，讲课
weekend n.周末，周末假期
bus n.公共汽车
rainy a.下雨的，多雨的
exam n.考试；检查，细查
operate vi.操作；施行手术
rapid a.快的n.急流
airline n.航空公司；航线
needle n.针，缝补，编织针
intensive a.加强的；精耕细作的
site n.地点，地基；场所
whom pron.(宾格)谁
mild a.和缓的；温柔的
countryside n.乡下，农村
pool n.共用物vt.共有
agriculture n.农业，农艺；农学
apartment n.一套公寓房间
favour n.好感；赞同；恩惠
pessimistic a.悲观的；厌世的
alive a.活着的；活跃的
doubt n.怀疑；疑虑vt.怀疑
bicycle n.自行车，脚踏车
faulty a.有错误的，有缺点的
driver n.驾驶员，司机
specialist n.专家
trip vi.绊；失足vt.绊倒
onto prep.到…上
origin n.起源，由来；出身
flight n.航班；飞行；逃跑
confirm vt.证实，肯定；批准
knock vi.&vt.&n.敲，击，打
unconscious a.不省人事的
bread n.面包；食物，粮食
bat n.球拍；短棍；蝙蝠
overseas ad.海外a.在海外的
anger n.怒，愤怒vt.使发怒
bitter a.痛苦的；严寒的
filter vt.过滤n.滤纸
exclusively ad.专门地
curse n.诅咒，咒骂；天谴
handful n.一把；少数，一小撮
window n.窗子，窗户，窗口
round a.圆的n.兜圈；一轮
visual a.看的；看得见的
wedding n.婚礼
plus prep.加，加上a.正的
spare vt.节约a.多余的
wall n.墙，壁，围墙，城墙
leap vi.跳，跃n.跳跃
preparation n.准备，预备；制备
widely ad.广，广泛
celebrate vt.庆祝；歌颂，赞美
delicate a.纤细的；易碎的
technique n.技术，技巧；技能
draw vt.画，划；拖；拨出
edge n.边缘，边；刀口
elaborate a.复杂的；精心制作的
prevail vi.胜，优胜；流行
symbol n.象征；符号，记号
basin n.盆，洗脸盆；盆地
giant n.巨人；巨物
weak a.弱的；软弱的
everybody pron.每人，人人
exploit vt.剥削；利用；开拓
incident n.发生的事；事件
intentional a.故意的，有意识的
merit n.长处，优点；功过
copy n.抄件vt.抄写，复制
harmony n.调合，协调，和谐
endless a.无止境的
pin n.针，饰针n.别住
interfere vi.干涉，干预；妨碍
envy vt.&n.妒忌；羡慕
vehicle n.车辆，机动车
potato n.马铃薯，土豆
afraid a.害怕的；担心的
keyboard n.键盘
awake a.醒着的vt.唤醒
breed n.品种vt.使繁殖
loyal a.忠诚的，忠心的
dive vi.跳水；潜水；俯冲
coat n.外套，上衣；表皮
cheese n.乳酪，干酪
score n.得分，比数，成绩
solely ad.单独地，唯一地
breakfast n.早饭，早餐
pump n.泵vt.用抽机抽
ground n.地；场地；根据
exist vi.存在；生存，生活
bound a.一定的；有义务的
fair n.定期集市；博览会
defeat vt.战胜，击败；挫败
sacrifice n.&vt.牺牲；南祭
uniform a.一样的n.制服
capital n.资本，资金；首都
plentiful a.丰富的，富裕
branch n.树枝；分部；分科
concert n.音乐会，演奏会
radiation n.放射，发射；辐射能
reply vi.&n.回答，答复
apologize vi.道歉，谢罪，认错
plane n.平面；飞机
convenience n.便利，方便；厕所
escape vi.逃跑；逸出n.逃跑
intimate a.亲密的；个人的
prompt a.及时的vt.敦促
silent a.沉默的；寂静无声的
sweet a.甜的；愉快的
tragedy n.悲剧；惨事，惨案
mystery n.神秘；神秘的事物
suddenly ad.突然地
hot a.热的；刺激的；辣的
dish n.碟，盘子；菜肴
hat n.帽子(一般指有边的)
tight a.紧的；紧身的
confident n.确信的，自信的
territory n.领土，版图；领域
uncomfortable a.不舒服的；不自在的
soft a.软的；柔和的
commercial a.商业的；商品化的
jet n.喷气式飞机；喷嘴
pick vt.拾，摘vi.采摘
smell n.嗅觉；气味vt.嗅
construction n.建造；建筑；建筑物
wheel n.轮，车轮
thin a.薄的；淡的vi.变薄
vertical a.垂直的，竖式的
kingdom n.王国；领域，界
collection n.搜集，收集；收藏品
eventually ad.终于；最后
provided conj.以…为条件
normally ad.通常，正常地
hardly ad.几乎不，简直不
semester n.半年；学期，半学年
yearly a.每年的ad.一年一度
shrink vi.收缩；缩小；退缩
institution n.协会；制度，习俗
crime n.罪，罪行；犯罪
thief n.窃贼，偷窃犯
blue a.蓝色的n.蓝色
glow n.白热光vi.发白热光
dark a.暗的；黑色的
glass n.玻璃；玻璃杯
orange n.橙(树)；柑(树)
page n.页
intense a.强烈的；紧张的
opinion n.意见，看法，主张
organize vt.组织，编组
pride n.骄傲；自豪vt.自夸
aware a.知道的，意识到的
optimistic a.乐观的；乐观主义的
newspaper n.报纸，报
arrange vt.筹备；整理；调解
delivery n.投递；交付；分娩
fee n.费，酬金；赏金
cafe n.咖啡馆；小餐厅
destination n.目的地，终点；目标
possess vt.占用，拥有(财产)
globe n.地球，世界；地界仪
pole n.极(点)，磁极，电极
analysis n.分析，分解，解析
settle vt.安排；安放；调停
downward a.向下的ad.向下地
proper a.适合的；合乎体统的
barrier n.栅栏，屏障；障碍
double a.两倍的；双的
structural a.结构的，构造的
approval n.赞成，同意；批准
grateful a.感激的；令人愉快
agency n.经办；代理；代理处
virtually ad.实际上，事实上
absolute a.绝对的；纯粹的
official a.官员的；官方的
emergency n.紧急情况，突然事件
lazy a.懒惰的，懒散的
external a.外部的，外面的
fertile a.肥沃的；多产的
conduct n.举止，行为；指导
push vt.推，逼迫vi.推
timber n.木材，木料
forecast n.预测，预报vt.预示
block n.街区vt.堵塞，拦阻
stem n.茎，(树)干vi.起源
admit vt.承认；准许…进入
describe vt.形容；描写，描绘
bar n.酒吧间；条，杆；栅
chocolate n.巧克力；巧克力糖
payment n.支付，支付的款项
fiction n.小说；虚构，杜撰
bed n.床，床位；圃；河床
nap n.小睡，打盹，瞌睡
afternoon n.下午，午后
guard vt.守卫；看守n.卫兵
fifty num.五十，五十个
eyesight n.视力，目力
hang vt.挂，悬；吊死
hazard n.危险；公害
perceive vt.察觉，发觉；理解
contract n.契约，合同；婚约
dead a.死的，无生命的
separate a.分离的；个别的
evolve vt.使进化；使发展
dynamic a.有活力的；动力的
selection n.选择，挑选；精选物
chicken n.小鸡，小鸟；鸡肉
badly ad.坏，差；严重地
protective a.保护的，防护的
pass vt.经过；通过；度过
relate vt.叙述；使联系
extent n.广度；范围；程度
fault n.缺点；过失；故障
vague a.模糊的，含糊的
victim n.牺牲者，受害者
outer a.外部的，外面的
clean a.清洁的；纯洁的
desert n.沙漠vt.离弃；擅离
toe n.脚趾，足尖
laboratory n.实验室，研究室
geometry n.几何，几何学
exert vt.尽(力)，运用
suit n.起拆，诉讼vt.适合
screen n.屏；屏幕vt.掩蔽
purchase n.买，购买vt.买
van n.大篷车，运货车
distribute vt.分发，分送；分布
maximum n.最大量a.最大的
valid a.有效的；正当的
superficial a.表面的；肤浅的
yesterday n.&ad.昨天，昨日
description n.描写，形容；种类
suspicion n.怀疑，疑心，猜疑
accurate a.准确的，正确无误的
remind vt.提醒，使想起
northern a.北方的，北部的
absolutely ad.完全地；绝对地
comparison n.比较，对照；比似
merely ad.仅仅，只不过
privilege n.特权，优惠
quote vt.引用，引证；报价
useless a.无用的，无价值的
existence n.存在，实在；生存
convey vt.传送；运送；传播
generous a.慷慨的；宽厚的
logical a.逻辑的；符合逻辑的
attach vt.缚，系，贴；附加
strictly ad.严格地，严谨地
exact a.确切的；精确的
oh int.嗬，哦，唉呀
fulfil vt.履行；满足；完成
arise vi.出现；由…引起
predict v.预言，预告，预测
fraction n.小部分；片断；分数
civil a.公民的；文职的
fluid n.流体，液体
inspire vt.鼓舞；给…以灵感
borrow vt.借，借用，借人
necessity n.必要性；必然性
leader n.领袖，领导人；首领
liberty n.自由；释放；许可
bloom n.花；开花，开花期
super a.极好的，超级的
king n.国王，君主
joint n.接头，接缝；关节
stone n.石，石头；宝石
goat n.山羊
personnel n.全体人员，全体职员
devise vt.设计，发明
battery n.电池；一套，一组
chemical a.化学的n.化学制品
reception a.接待；招待会；接受
technician n.技术员，技师
subway n.地道；地下铁路
bitterly ad.苦苦地；悲痛地
girl n.女孩子，姑娘；女儿
preserve vt.保护；保存；腌渍
mutual a.相互的；共同的
mile n.英里
